song,artist,view
I Believe,주원,678534.7391304348
저기요,하성운,674674.8333333334
Think About' Chu (Prod. By 박근태),"샘김 (Sam Kim), 로꼬",666492.4090909091
"안녕, 오늘의 그대에게",임한별,664727.625
맨발의 청춘,벅,663206.5652173914
봄 (feat. 산다라박),박봄,660128.0869565217
당신을 위하여,더 크로스,655943.0434782609
종이새,Lim Kim,655407.5416666666
왠지 (Somehow),DIA (다이아),654150.9130434783
Mazeltov,제국의아이들 (ZE:A),653827.6521739131
너에게 쓰는 편지 Part 2 (Feat. LISA),MC몽,652792.6086956522
슬픔을 참는 세가지 방법,혜령,652009.6521739131
키친 OST,Various Artists,651258.2307692308
Dream Night,ASTRO (아스트로),648756.2173913043
반지하나,혜령,648052.4782608695
파라다이스 (메인 테마),티맥스,643057.4583333334
정신이 나갔었나봐,이승기,642869.0869565217
갖고놀래 (Feat. 다이나믹 듀오),범키,640908.7826086957
뜨거운 설탕 (Hot Sugar),터보,635012.8695652174
죄와벌 (Remix),SG 워너비,634800.2608695652
죽도록 사랑해 2 (Feat. 조성모),MC몽,633372.2727272727
키스해줄래,지나,631991.4347826086
사랑은 이제 그만,버블 시스터즈,626622.2272727273
BIRD,하성운,624316.2608695652
담아 갈게,이무진,623472.0
서울사람들,버스커 버스커,621854.6086956522
외친다 (Call Out),ASTRO (아스트로),620960.1304347826
두바둡 (only u),라붐 (LABOUM),618540.7826086957
훔쳐 (Feat. Double K),Dok2,615428.9583333334
마네킹,이루,615216.5652173914
쉽지않아 (Missing),틴탑,611633.0
나를 잊지 말아요,허각,607709.5217391305
EVERYDAY I LOVE YOU (Feat. 하슬),이달의소녀,606924.0
만만하니,유키스,603133.8695652174
죽도록 사랑해 (Feat. 박정현),MC몽,602907.7391304348
그게 좋은거야 (Time with you),규현 (KYUHYUN),601875.0434782609
붙잡았어야 해,ASTRO (아스트로),601544.6521739131
