,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
583,여성시대 (씨야 & 다비치 & 티아라),더 발라드(The Ballad),발라드 베스트 가요여행 3,발라드 / 가요,2%엔터테인먼트,주식회사 폴라리스,2015.08.26,1352,5639
584,별이 빛나는 밤에,원투 (One Two),별이 빛나는 밤에 (Digital Single),댄스 / 가요,지니뮤직,Stone Music Entertainment,2009.07.02,321996,2062736
585,열기구,SURL (설),I Know,인디 / 가요,지니뮤직,해피로봇레코드,2019.10.18,49624,502460
586,왜 이제야 왔니,정엽,너의 목소리가 들려 OST Part.2 (SBS 수목드라마),드라마 / OST,주식회사 블렌딩,㈜SBS콘텐츠허브 (㈜에스비에스콘텐츠허브),2013.06.17,596285,4439251
587,질투가 좋아,멜로망스 (MeloMance),Sunshine,인디 / 가요,해피로봇 레코드,"민트페이퍼, 광합성",2016.12.06,255213,2230505
588,눈물길,휘성 (Realslow),해를 품은 달 OST Part.3 눈물길 (MBC 수목드라마),드라마 / OST,RIAK,(주)팬엔터테인먼트,2012.01.26,133289,1205843
589,내 눈물이 하는 말,견우 (Kyunwoo),City Of Angel,발라드 / 가요,워너뮤직,Warner Music Korea,2005.08.23,264602,2155684
590,눈,SURL (설),Aren't You?,락 / 가요,지니뮤직,SURL,2018.12.06,96549,1040414
591,매일,JBJ,True Colors,댄스 / 가요,카카오엔터테인먼트,"Stone Music Entertainment, 카카오엔터테인먼트, 페이브엔터테인먼트",2018.01.17,46466,1820444
592,파라다이스 (Feat. 박우진 of AB6IX),김재환,MOMENT,전체 / 가요,"지니뮤직, Stone Music Entertainment",스윙엔터테인먼트,2019.12.12,57437,3270442
593,아름다운 밤이야,비스트 (Beast),Midnight Sun,댄스 / 가요,카카오엔터테인먼트,큐브 엔터테인먼트,2012.07.22,662672,5142579
594,19금 Beverly 1lls,Various Artists,쇼미더머니 5 Episode 3,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2016.07.02,287974,3482552
595,톡톡 (Tok Tok) (Feat. SOYA),마이티 마우스 (Mighty Mouth),Mighty Fresh,랩/힙합 / 가요,카카오엔터테인먼트,원오원엔터테인먼트,2011.01.18,731965,6643889
596,You & I,먼데이 키즈 (Monday Kiz),You & I,발라드 / 가요,뮤직앤뉴,CANENT,2013.01.17,114306,1832605
597,농담 반 진담 반,슈가볼 (Sugarbowl),NUANCE,인디 / 가요,미러볼뮤직,러브웰레코드,2014.05.07,383566,4647970
598,Rainbow Falling,차은우 (ASTRO),내 아이디는 강남미인 OST Part.7 (JTBC 금토드라마),드라마 / OST,워너뮤직,withHC,2018.08.31,75262,772310
599,화양연화,이태종,화양연화,트로트 / 가요,(주)비씨에스뮤직,강소연,2010.02.25,954,9453
600,듣고 싶던 말,허각,듣고 싶던 말,발라드 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.08.27,1003336,11278743
601,존버 (Feat. Coogie & Jiselle),MC몽,CHANNEL 8,랩/힙합 / 가요,Dreamus,(주)밀리언마켓,2019.10.25,349868,3225655
602,거미가 줄을 타고 올라갑니다,뽀로로,뽀로로 인기동요 1,동요 / 동요/태교,카카오엔터테인먼트,(주)아이코닉스,2017.05.10,160189,2020762
603,누나 (NUNA),김재환,MOMENT,전체 / 가요,"지니뮤직, Stone Music Entertainment",스윙엔터테인먼트,2019.12.12,124602,3528815
604,I Believe,주원 & 임도혁,"엽기적인 그녀 OST Part.5, 6 (SBS 월화드라마)",드라마 / OST,(주)삼쩜일사,㈜래몽래인,2017.07.18,14961,82637
605,전쟁이야,엠블랙 (MBLAQ),MBLAQ 4th Mini Album '100％Ver.',댄스 / 가요,오감엔터테인먼트,더라임라이트뮤직컨설팅,2012.01.10,127716,808983
606,맘마미아,카라 (KARA),KARA 6th Mini Album 'Day&Night',댄스 / 가요,카카오엔터테인먼트,DSP 미디어,2014.08.18,500828,4956264
607,사랑은 이제 그만,버블 시스터즈 (Bubble Sisters),Be Strong(Girls Be Ambitious),전체 / 가요,오감엔터테인먼트,프렌 엔터테인먼트,2007.09.06,1783,12402
608,박수쳐,2NE1,To Anyone,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2010.09.09,510390,2786553
609,오빠 힘내요,김종민,오빠 힘내요,댄스 / 가요,지니뮤직,김종민,2011.04.26,22452,250671
610,빙글빙글,유키스 (U-KISS),U-Kiss Only One Album,댄스 / 가요,케미컬레코드,nhemg (㈜앤에이취이엠쥐),2010.02.03,87992,498897
611,운명처럼,벤,엽기적인 그녀 OST Part.4 (SBS 월화드라마),드라마 / OST,(주)삼쩜일사,㈜래몽래인,2017.06.26,72850,510803
612,이것도 사랑이니,이동은 (라이어밴드),이것도 사랑이니,락 / 가요,오감엔터테인먼트,소나무뮤직,2019.10.04,309977,6318372
613,4시 44분 (Feat. 휘인 of 마마무),박봄 (Park Bom),re:BLUE ROSE,R&B/소울 / 가요,3.14,디네이션,2019.05.02,295526,3121203
614,너를,이우,너를,발라드 / 가요,㈜다날엔터테인먼트,다날엔터테인먼트,2020.03.10,177609,2640186
615,Go Higher,GOT7 (갓세븐),FLIGHT LOG : ARRIVAL,댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2017.03.13,28820,440438
616,나도 여자예요,민아 (걸스데이),I am a Woman too,R&B/소울 / 가요,㈜인터파크,㈜인터파크,2015.03.16,378366,5279871
617,바람필래,조성모,성모 Meet Brave (EP),일렉트로니카 / 가요,(주)콘텐츠라이크,에스플러스엔터테인먼트,2010.08.11,10140,64443
618,Pepe,CLC,첫사랑,댄스 / 가요,카카오엔터테인먼트,큐브 엔터테인먼트,2015.03.19,91890,850256
619,분홍 립스틱,광복절 밴드,광복절 밴드,인디 / 가요,가람미디어,,2002.11.01,93151,606124
620,Upgrader,김예림 (Lim Kim),Simple Mind,댄스 / 가요,(주)삼쩜일사,"㈜미스틱89, 미스틱엔터테인먼트",2015.04.27,41490,222616
621,내가 야! 하면 넌 예! (Duet With LYN),김태우,T-Virus,R&B/소울 / 가요,,폴라리스 엔터테인먼트,2009.09.03,202134,1754463
622,넘어와 (Feat. 백예린),DEAN,limbo,R&B/소울 / 가요,Universal Music,"유니버설뮤직, 줌바스 (Universal Music Ltd., Joombas Co Ltd.)",2017.02.17,1381187,26450572
623,어른병 (I Lost Me),황치열,The Four Seasons,전체 / 가요,NHN벅스,하우엔터테인먼트,2019.01.21,29555,649549
624,Dry Flower,SURL (설),I Know,인디 / 가요,지니뮤직,해피로봇레코드,2019.10.18,37223,417677
625,노는 게 제일 좋아 (OH YA YA YA),루나솔라 (LUNARSOLAR),SOLAR : flare,댄스 / 가요,NHN벅스,제이플래닛 엔터테인먼트,2020.09.02,21661,140883
